問題ID,問題,答え,読み,復習フラグ
1,「鼠径」「大腿」「椎間板」などの種類がある、体内の臓器などが本来あるべき位置から突出した状態のことを、ラテン語で「飛び出す」という意味の言葉で何というでしょう？,ヘルニア,ヘルニア,0
2,1895年に「ヒトの心電図の形」を発表し、1924年には「心電図法の発見」の功績によりノーベル生理学・医学賞を受賞したオランダの生理学者は誰でしょう？,ウィレム・アイントホーフェン,アイントホーフェン,0
3,1980年代にモトローラ社の技術者ビル・スミスによって開発された、100万回の作業を実施しても不良品の発生率を3.4回に抑えるという品質管理手法を何というでしょう？,シックス・シグマ,シックスシグマ,0
4,イエス・キリストが礫にされた時にその釘を引き抜こうとしたという伝承があり、その嘴の形状は物事が食い違って思うようにならないことの喩えに使われる鳥は何でしょう？,イスカ,イスカ,1
5,ウェブブラウザ「Google Chrome」のアイコンにおいて、真ん中の丸の色は何色でしょう？,青,あお,0
6,クマリ寺が位置することから「カニヤー・クマリ」とも呼ばれ、ベンガル湾、アラビア海、インド洋を一望することができる、インド最南端の岬は何でしょう？,コモリン岬,コモリン,0
7,ケンブリッジ大学にはこれを描いたステンドグラスがある、数学において集合の包含関係を視覚的に捉えるために用いる図のことを、考案したイギリスの数学者の名前から「何図」というでしょう？,ベン図,ベン,0
8,ゴルフで、ラウンドが終わったあと、マーカーがスコアに誤りがないかを確認してサインをすることを何というでしょう？,アテスト,アテスト,0
9,その名はフランスとスイスの国境にある山脈に由来する、中生代2番目の地質時代であり、恐竜が繁栄し始祖鳥が出現した時代を「何紀」というでしょう？,ジュラ紀,ジュラ,0
10,ディスカウントチェーン・ウォルマートのかつての俗称に由来するという説がある、ボウリングにおいて、5・7番ピンもしくは5・10番ピンが残ったスプリットを指す呼び名は何でしょう？,ダイムストア,ダイムストア,0
11,ナイアガラの滝において、アメリカ滝とカナダ滝を分けている島の名前は何でしょう？,ゴート島,ゴート,0
12,フィギュアスケートの6種類のジャンプで唯一前向きに踏み切って跳ぶ、最も難易度が高いとされるジャンプを何ジャンプというでしょう？,アクセルジャンプ,アクセル,0
13,フランス語で「白い食べ物」という意味の言葉に由来する、すり潰したアーモンドに牛乳や砂糖を加え、ゼラチンで冷やして固めたお菓子を何というでしょう？,ブラン・マンジェ,ブランマンジェ,0
14,マラッカ海峡やスンダ海峡よりも水深が深いことから大型船の航路としてよく用いられる、動物分布境界線の「ウォーレス線」が通っていることでも知られる小スンダ列島にある海峡は何でしょう？,ロンボク海峡,ロンボク,0
15,ランプやガス灯などにおいて、火を覆うガラスの筒のことを何というでしょう？,火屋,ほや,0
16,愛知県の市で、「世界最古の海水浴場」といわれる大野海水浴場や、中部国際空港・セントレアが位置するのは何市でしょう？,常滑市,とこなめ,0
17,安産を祈って、妊婦さんが妊娠5ヶ月目の戌の日からお腹に巻く白地の布を何というでしょう？,岩田帯,いわたおび,0
