問題,答え,読み
イタリアの数学者が考案した「ペアノの公理」が定義している、全体集合が記号 ℕで表される数は何でし ょう？,自然数,しぜんすう
フランス語では「ギリシャ語のi」という意味の「イグレック」と呼ぶアルファベットの文字は何でしょう？,Y,
フランス語では「ダブル」という意味の「ドゥヴルヴェ」と呼ぶアルファベットの文字は何でしょう？,W,
後ろにagainをつけると「またかよ」といったニュアンスのネガティブな表現になる、「さあ行こう！」という意味の英語の表現は何でしょう？,Here we go,
「C(黒鉛) + O2(気) ＝ CO2(気) + 394KJ」のように、化学反応における物質の変化と熱の出入りを表した式を何というでしょう？,熱化学方程式,
生物のmRNA上にあるコドンは全部で何種類でしょう？,64,
女子は新谷仁美の1時間06分38秒、男子は小椋裕介の1時間00分00秒が日本記録となっている陸上競技の種目は何でしょう？,ハーフマラソン,
 水の中に棲む「闘蛇」や、翼の生えた「王獣」といった架空の生き物が登場する上橋菜穂子の小説は何でしょう？,賢者の森,
1906年にアメリカ初のナショナル・モニュメントに指定された、映画『未知との遭遇』で宇宙船が降り立つシーンが撮影されたワイオミング州の岩山は何でしょう？,デビルズタワー,
創業者 正雄の名字を社名に冠する、「TOMIZ」の愛称を看板に掲げる製菓材料・器具の専門店は何でしょう？,富澤商店,
名優 モーガン・フリーマンが多くの映画で演じた、ハリウッド映画において主役の白人を助けるために登場する黒人の役を何というでしょう？,マジカル・ニグロ,ニグロ　⇒　黒人
次の座標に位置する施設は何でしょう？ 南緯77度19分01秒、東経39度42分12秒、標高3810m,ドームふじ基地 ,
和名をワニナシという果実は何でしょう？,アボカド,
リージョナル ランドマーク ストアとよばれるおしゃれな店舗も観光地で目を引く、セイレーンが書かれたロゴをもつコーヒー店は何でしょう？,スターバックス,新宿御苑や大濠公園にある
【ひらがなで解答】「他人をおとしいれるために、ありもしないことをでっちあげ悪く言うこと」を意味する二字熟語「讒言」は、何と読むでしょう？,ざんげん,
ショパン国際ピアノコンクール2021覇者 ブルース・リウが選んだピアノを制作した、イタリアの新興ピアノメーカーは何でしょう？,ファツィオリ,
１光年とは、およそ9.46×10の「何乗」メートルのことでしょう？,15,
全人口の15％を占める障がい者への偏見や差別をなくすことを目的とした、世界的な人権運動キャンペーンは何でしょう？,#WeThe15,
一般的なギターの調弦で、1弦と6弦はともにどの音階に合わせられるでしょう？,ミ,
昨年（2021年）の受験者数は1千万人以上に達した、例年6月上旬に行われる中国の全国統一大学入学試験は何でしょう？,高考,ガオカオ
 アトランタオリンピック男子110mハードルでは金メダルを獲得した、そのスタイルから「ハードルなぎ倒し男」の異名をとるアメリカのスポーツ選手は誰でしょう？,アレン・ジョンソン,ジョンソン
第1回俳句甲子園の最優秀賞を受賞した句。○○に入る歌手は誰でしょう？「秋立ちて○○が愛歌う」,加藤登紀子,かとうときこ
組香のルールの一つ 源氏香において、5つの香すべてが違うときは「帚木」と呼びますが、5つすべてが同じときは何と呼ぶでしょう？,手習,組香 （くみこう）
創薬において、技術の進歩にもかかわらず薬の値段は高価になり続けているという現象を、これと真逆のことをいった半導体に関する法則をもじってなんというでしょう？,エルーム,
神戸のお店「恋するオープンサンド」において、2つセットで売られているオープンサンドは「両想い」と呼ばれていますが、1つだけで売られているオープンサンドは何と呼ばれているでしょう？,一目惚れ,
オランダの科学者 パウル・クルッツェンが造語した、ホモ・サピエンスの活動によって地球環境に変化がもたらされた時代を指す、最も新しい地質時代の区分は何でしょう？,人新世,
極めて貧しいさまを表す、ある色を用いた二字熟語は何でしょう？,赤貧,
 日本漢字能力検定の10級で出題対象となっている漢字は何字でしょう？,80,
孟子が故人である孔子に対して述べた言葉に由来する、尊敬する人物から直接は教えを受けないが、密かに師と仰ぐことを意味する二字熟語は何でしょう？,私淑,
本名をフィリップ・パジェスという、デビュー曲『渚のアデリーヌ』が世界中で爆発的ヒットを記録したランスのピアニストは誰でしょう？,クレイダーマン,
第2回吉川英治文学賞を受賞した『徳川家康』をはじめ多くの歴史小説を残した作家は誰でしょう？,山岡荘八,やまおかそうはち
 昭和8年に広島県の三原で創業された、名物のくりーむパンで知られるパン屋さんは何でしょう？,八天堂,はってんどう
『コーラン』を規範として文法が作り上げられてきた正則アラビア語のことをアラビア語で何というでしょう？,フスハー,
高い効率と耐久性を誇り素早い電力の出し入れが可能な「超電導磁気エネルギー装置」のことをアルファベット4文字で何というでしょう？,SMES,
